Sun Hat,Clothing,Outdoor Research Sombriolet,1,107.73,g,https://www.rei.com/product/112247/outdoor-research-sombriolet-sun-hat?sku=1122470011,31.49,Worn,
Running Tights,Clothing,Nike Dri-Fit Challenger - L,1,259.97,g,https://www.nike.com/t/dri-fit-challenger-mens-running-tights-CF4RdW,60.00,Worn,
Light Athletic Shirt,Clothing,Pistol Lake - L,1,183.14,g,https://www.pistollake.com/collections/everything/products/minimalist-raglan?variant=29303875338274,67.00,Worn,
Wool Boxers,Clothing,Icebreaker Anatomica - XXL,2,94.97,g,https://www.rei.com/product/157477/icebreaker-anatomica-zone-long-boxers-mens,65.00,Worn,
Down Jacket,Clothing,REI Magma 850 Down,1,389.81,g,https://www.rei.com/product/137433/rei-co-op-magma-850-down-hoodie-mens?cm_mmc=email_tran-_-order_conf-_-20181109-_-bt_prod1&ev36=&RMID=OrderConfirm_PROD&RRID=211227715&ev11=,108.99,Worn,
Rain Jacket,Clothing,,1,,,,,Worn,
Satellite Communicator,Electronics,Garmin InReach Explorer,1,221.13,g,https://www.rei.com/product/119863/garmin-inreach-explorer,450.00,,
Headlamp,Electronics,Petzl Swift RL,1,100.92,g,https://www.rei.com/product/170193/petzl-swift-rl-headlamp,119.95,,
Power Bank,Electronics,Nitecore NB20000,1,323.18,g,https://www.amazon.com/gp/product/B099GRS6QC?psc=1,110.04,,
Charging Cables,Electronics,"Microusb, USB-C, Aeropex, Fenix",1,72.01,g,,,,
Headphones,Electronics,Aftershokz Aeropex,1,26.08,g,https://www.rei.com/product/169639/aftershokz-aeropex-headphones,159.95,Worn,
Phone,Electronics,Google Pixel 3 XL,1,183.99,g,,499.00,Worn,
Tent Light,Electronics,Nite Ize Lantern,1,29.48,g,https://www.amazon.com/gp/product/B01NAWZHEE?psc=1,8.97,,
Phone Case,Electronics,Caseology Vault,1,62.09,g,https://www.amazon.com/gp/product/B07H78GTSP?psc=1,12.99,Worn,
Trail Runners,Feet,Altra Superior 45,1,510.29,g,https://www.rei.com/product/174412/altra-superior-45-trail-running-shoes-mens?cm_mmc=aff_AL-_-40661-_-55097-_-NA&avad=55097_c21ecadd9,110.00,Worn,
Tall Wool Socks,Feet,Darn Tough Merino Wool Socks,3,93.55,g,https://darntough.com/products/mens-merino-wool-hiker-boot-midweight-hiking-socks,18.71,Worn,
Camp Shoes,Feet,Jiyaru Sandals,1,119.07,g,https://www.amazon.com/gp/product/B01A50I1VO?psc=1,7.99,,
Hot Sauce,Food,Yellowbird Hot Sauce - 2.2oz,1,62.37,g,https://www.rei.com/product/142213/yellowbird-hot-sauce-22-oz,2.50,,Consumable
Accounting Bar - Cranberry,Food,Mango Cranberry Almond,2,155.07,g,https://www.amazon.com/dp/B07ZK1G9FQ?psc=1,44.64,,Consumable
Accounting Bar - Cashew,Food,Mango Cashew Coconut,1,155.07,g,https://www.amazon.com/gp/product/B07ZK4SJQY?psc=1,44.64,,Consumable
Juicy Juice,Food,,,,,,,,Consumable
Backpacking Pack,Hiking,Osprey Atmos AG 65 - L,1,1899.42,g,https://www.rei.com/product/134072/osprey-atmos-ag-65-pack-mens,201.99,,
Water Resevoir,Hiking,Hydrapak Force - 3L,1,249.48,g,https://www.amazon.com/gp/product/B07M6RSKBV?psc=1,43.00,,
Z-Biner,Hiking,,3,3.97,g,,,,
Hiking Pole,Hiking,Black Diamond Z-Pole,2,70.87,g,https://www.rei.com/product/127493/black-diamond-distance-carbon-z-trekking-poles-pair,84.98,Worn,
Salomon Flask,Hiking,Salomon Soft Flask - 500ml,1,214.04,g,https://www.amazon.com/gp/product/B07V6FQ67S?psc=1,19.95,,
Sunscreen,Human Flaws,Banana Boat Sport - 100 SPF,1,,,,,,
Contacts,Human Flaws,Pair of Acuvue Oaysis,12,3.97,g,,,,
Sunglasses,Human Flaws,Bnus Sunglasses,1,,,https://www.amazon.com/gp/product/B075V514FJ?psc=1,87.99,Worn,
Cooking Pot,Kitchen,GSI Haulite,1,32.89,g,https://www.amazon.com/gp/product/B00GP1GSAO?psc=1,31.95,,
Stove,Kitchen,MSR Pocket Rocket 2,1,102.91,g,https://www.rei.com/product/114890/msr-pocketrocket-2-stove,44.95,,
Stove Stand,Kitchen,MSR Cannister Stand,1,32.89,g,https://www.rei.com/product/814692/msr-universal-fuel-canister-stand,14.95,,
Stove Fuel,Kitchen,MSR IsoPro Fuel Cannister,1,379.03,g,https://www.rei.com/product/651555/msr-isopro-fuel-canister-8-oz-227g?sku=6515550017&store=78,5.95,,
Spork,Kitchen,Camp Stove Utensil,1,11.06,g,https://www.rei.com/product/899045/sea-to-summit-alpha-light-spork-long,9.95,,
Stove Sack,Kitchen,,1,17.86,g,,,,
First-Aid Kit,Medicine,"Bandages, Tourniquet, Alcohol Wipes, CPR Mask, Duct Tape, Superglue, Inhaler",1,364.01,g,,,,
SAM Splint,Medicine,Sawyer SAM Splint,1,123.04,g,https://www.rei.com/product/874033/sawyer-sam-splint-regular,15.00,,
Naproxen,Medicine,220mg,20,1.13,g,,,,
Saltstick,Medicine,Electrolyte Tablet,30,1.13,g,,,,
Caffeine,Medicine,100mg + 200mg l-theanine,16,0.28,g,,,,
Pill Container,Medicine,,1,30.90,g,,,,
Head Net,Miscellaneous,Sea to Summit Mosquito Head Net,1,26.08,g,https://www.rei.com/product/799982/sea-to-summit-mosquito-head-net-with-insect-shield?sku=7999820017,12.95,,
REI Multi-Towel,Miscellaneous,REI Co-Op Multi-Towel,1,55.00,g,https://www.rei.com/product/127505/rei-co-op-multi-towel,15.19,,
Clipper Lighter,Miscellaneous,Clipper Lighter,1,15.03,g,https://www.amazon.com/gp/product/B00JH2P8BS?psc=1,1.08,,
Glasses Case,Miscellaneous,Bnus Leather Case & Towel,2,55.85,g,,,,
Alemon Ultralight Mesh Sack,Miscellaneous,Trashbag,1,,,https://www.amazon.com/gp/product/B07THM9HYY?psc=1,13.99,,
Driver's License & Credit Card,Miscellaneous,,1,9.92,g,,,Worn,
Cleansing Wipes,Sanitation,Neutrogena,1,,,,,,
Toothbrush + Cover,Sanitation,,1,,,,,,
Toothpaste,Sanitation,Crest Scope,1,,,,,,
Floss Stick,Sanitation,,10,,,,,,
Travel Deodorant,Sanitation,,1,,,,,,
Toilet Paper,Sanitation,1x Roll,1,,,,,,
Hand Sanitizer,Sanitation,Germ-X,1,,,,,,
Tent,Sleeping,MSR Hubba Hubba NX,1,1177.92,g,https://www.amazon.com/MSR-2-Person-Lightweight-Backpacking-Waterproof/dp/B07M7MWJ8Q,399.95,,
Footprint,Sleeping,MSR Hubba Hubba NX Footprint,1,202.13,g,https://www.amazon.com/MSR-Papa-Hubba-Footprint-Tarp/dp/B019F2QW1Y,35.09,,
Rainfly,Sleeping,MSR Hubba Hubba NX Rainfly,1,542.89,g,,,,
Air Mattress,Sleeping,Therm-a-Rest,1,352.10,g,https://www.amazon.com/gp/product/B00PZL14EK?psc=1,152.50,,
Air Mattress Patch Kit,Sleeping,,1,11.06,g,,,,
Sleeping Bag,Sleeping,REI Magma 30,1,544.31,g,https://www.rei.com/product/148246/rei-co-op-magma-30-sleeping-bag-mens,298.99,,
Pillow,Sleeping,Exped Air,1,68.89,g,https://www.rei.com/product/830617/exped-air-pillow,35.00,,
